year,Answer,share
2006,Stark ablehnen,0.02298779882351841
2006,Ablehnen,0.07380878010943746
2006,Indifferent,0.5267401103101766
2006,Befürworten,0.26775965347625774
2006,Stark befürworten,0.1087036572806097
2018,Stark ablehnen,0.015042511445389144
2018,Ablehnen,0.051013734466971876
2018,Indifferent,0.3747547416612165
2018,Befürworten,0.3145846958796599
2018,Stark befürworten,0.2446043165467626
